Sample,Country,DNA_Extraction,Library_Method,Taxa,TotalReads,MappedReads,Q37Reads,UniqueReads,AvgLength,MapStats_Mean_1,MapStats_Mean_2,MapStats_Mean_3,MapStats_Mean_4,MapStats_Mean_5,MapStats_Mean_6,MapStats_Std_1,MapStats_Std_2,MapStats_Std_3,MapStats_Std_4,MapStats_Std_5,MapStats_Std_6
Hungary_18416_PB_DSL,Hungary,PB,DSL,Anaerolineacea_bacterium_oral_taxon_439,571189,33836,31353,30332,63.5754,0.023395446,0.017643797,0.998192506,0.420157439,0.196754765,-1383.535049,0.000492791,0.000639317,0.00179408,0.003084786,0.006344242,1.702673691
Hungary_18416_PB_SSL,Hungary,PB,SSL,Anaerolineacea_bacterium_oral_taxon_439,5657100,179859,161979,149258,51.5127,0.019511304,0.023616681,0.999656533,0.418404701,0.23370046,-4479.794025,0.000193152,0.000307293,0.000349641,0.001415417,0.003484788,1.751953759
Hungary_18416_QG_DSL,Hungary,QG,DSL,Anaerolineacea_bacterium_oral_taxon_439,1138507,88900,85480,81301,117.656,0.028382687,0.019741285,0.998745462,0.506017635,0.180998225,-4211.057121,0.000329773,0.000358588,0.001244867,0.002263186,0.003328098,1.757550582
Hungary_18416_QG_SSL,Hungary,QG,SSL,Anaerolineacea_bacterium_oral_taxon_439,17377666,703509,658381,564194,65.3078,0.021284349,0.022736305,0.997554283,0.498780375,0.20598998,-11800.81303,0.000102896,0.000143199,0.002120173,0.001066661,0.001563267,1.664392967
Hungary_18421_PB_DSL,Hungary,PB,DSL,Anaerolineacea_bacterium_oral_taxon_439,589146,67453,64448,61748,79.4688,0.027487679,0.015223422,0.893277906,0.552725952,0.158752643,-3155.778046,0.000371279,0.000397403,0.017967933,0.006412642,0.003570911,1.571554772
Hungary_18421_PB_SSL,Hungary,PB,SSL,Anaerolineacea_bacterium_oral_taxon_439,4566559,323005,304337,273192,69.011,0.022787634,0.0186152,0.999434538,0.545573402,0.195463208,-5626.886483,0.000154228,0.000173542,0.000568796,0.001240861,0.002063841,1.707758045
Hungary_18421_QG_DSL,Hungary,QG,DSL,Anaerolineacea_bacterium_oral_taxon_439,1531256,216346,208400,166822,112.238,0.027376132,0.017303685,0.99941561,0.526562052,0.181062721,-8459.932728,0.000229539,0.000234306,0.000579368,0.001596158,0.002379934,1.716114729
Hungary_18421_QG_SSL,Hungary,QG,SSL,Anaerolineacea_bacterium_oral_taxon_439,4939739,434843,411257,361960,68.0845,0.022287642,0.019192088,0.997754099,0.532680129,0.190437508,-7463.622887,0.000133435,0.000162556,0.002098688,0.001261192,0.001807633,1.702974541
Hungary_18427_PB_DSL,Hungary,PB,DSL,Anaerolineacea_bacterium_oral_taxon_439,949368,1837,1411,1376,67.4244,0.041658613,0.014690698,0.917219794,0.443908037,0.227452768,-456.5642383,0.003135744,0.003332334,0.056020511,0.023354864,0.025301118,1.531658478
Hungary_18427_PB_SSL,Hungary,PB,SSL,Anaerolineacea_bacterium_oral_taxon_439,10185382,10440,7142,7003,52.9105,0.035258685,0.032490812,0.784994592,0.435694437,0.38994767,-928.5402966,0.00123736,0.00198603,0.044571805,0.021044415,0.018064718,1.582030294
Hungary_18427_QG_DSL,Hungary,QG,DSL,Anaerolineacea_bacterium_oral_taxon_439,2037388,34139,32110,30113,130.579,0.031479261,0.019484778,0.707126006,0.4384552,0.168180768,-2030.073354,0.000562989,0.000780625,0.019237731,0.009559582,0.004873849,1.577717943
Hungary_18427_QG_SSL,Hungary,QG,SSL,Anaerolineacea_bacterium_oral_taxon_439,303465,2326,1967,620,44.7645,0.030872903,0.019003615,0.737378805,0.468959784,0.284494436,-301.857802,0.003728251,0.005084875,0.123819585,0.06117318,0.051166435,1.494741618
Niger_18393_PB_DSL,Niger,PB,DSL,Anaerolineacea_bacterium_oral_taxon_439,48321,0,0,0,0,22.2819345,0.496357953,0.506112366,0.499211232,187.9550709,0,16.50415061,0.289616551,0.286662321,0.292827975,53.23769517,0
Niger_18393_PB_SSL,Niger,PB,SSL,Anaerolineacea_bacterium_oral_taxon_439,2308,58,48,47,62.5106,0.07117274,0.016491622,0.636485943,0.527976797,0.053121693,-73.80948512,0.018387138,0.011985861,0.221560888,0.141823203,0.041653872,1.585220477
Niger_18393_QG_DSL,Niger,QG,DSL,Anaerolineacea_bacterium_oral_taxon_439,54932,2,2,2,25,0.187568052,0.072102975,0.399332155,0.592297659,2.02509179,-19.35045123,0.152664311,0.068542516,0.284118721,0.271894288,3.614395939,1.536446252
Niger_18393_QG_SSL,Niger,QG,SSL,Anaerolineacea_bacterium_oral_taxon_439,706286,22475,20984,4347,59.0501,0.024669355,0.021281479,0.976034892,0.471413023,0.150568409,-590.1151853,0.001289219,0.001736454,0.020972674,0.011577179,0.013234425,1.64742766
Niger_18398_PB_DSL,Niger,PB,DSL,Anaerolineacea_bacterium_oral_taxon_439,72142,0,0,0,0,27.75381662,0.498994344,0.498385137,0.506142227,47.0689717,0,17.62670358,0.287771139,0.289525594,0.287283391,34.57951322,0
Niger_18398_PB_SSL,Niger,PB,SSL,Anaerolineacea_bacterium_oral_taxon_439,33054,903,842,267,57.9775,0.074144942,0.001700015,0.76925945,0.628612499,0.06875385,-279.4286154,0.007345272,0.001636016,0.153821392,0.063028842,0.018854873,1.683759129
Niger_18398_QG_DSL,Niger,QG,DSL,Anaerolineacea_bacterium_oral_taxon_439,84006,0,0,0,0,41.86153457,0.498091364,0.50288177,0.500060694,81.98991339,0,20.97218756,0.288806059,0.288634722,0.288894735,76.03578667,0
Niger_18398_QG_SSL,Niger,QG,SSL,Anaerolineacea_bacterium_oral_taxon_439,76958,2552,2360,657,59.3896,0.021874289,0.024976445,0.915423496,0.478336815,0.196411699,-243.7713962,0.003162974,0.004509905,0.064759694,0.033923344,0.045283649,1.617333021
Niger_18400_PB_DSL,Niger,PB,DSL,Anaerolineacea_bacterium_oral_taxon_439,32956,2,1,1,26,0.052632705,0.158563103,0.442076617,0.540873821,34.14999414,-9.909781583,0.103504455,0.138763146,0.288974049,0.280914666,37.40289952,1.27775431
Niger_18400_PB_SSL,Niger,PB,SSL,Anaerolineacea_bacterium_oral_taxon_439,277168,1942,1790,342,56.3509,0.078492372,0.003960405,0.648113684,0.656054353,0.04072217,-285.9425673,0.006971393,0.003024511,0.196427967,0.089680054,0.012097254,1.4826218
Niger_18400_QG_DSL,Niger,QG,DSL,Anaerolineacea_bacterium_oral_taxon_439,112968,1,0,0,0,39.94971312,0.499048993,0.49652117,0.500479481,62.22628263,0,26.68315186,0.289352828,0.288638558,0.290592611,38.89737516,0
Niger_18400_QG_SSL,Niger,QG,SSL,Anaerolineacea_bacterium_oral_taxon_439,118009,2944,2744,586,62.0478,0.076385027,0.001156221,0.846405733,0.651830133,0.063602331,-478.2353635,0.005054446,0.001090705,0.113416461,0.044032798,0.011856362,1.71240835
Niger_18400_QG_SSL,Niger,QG,SSL,Methanobrevibacter_oralis,118009,2113,1150,93,52.0753,0.09238353,0.029883822,0.564340464,0.642978734,0.57762916,-212.878669,0.015992223,0.0141934,0.26138102,0.184913907,0.132866479,1.4596744
Niger_18400_QG_DSL,Niger,QG,DSL,Methanobrevibacter_oralis,112968,0,0,0,0,37.78972496,0.495666596,0.493324394,0.496749396,55.27449755,0,20.77611977,0.289610147,0.288548315,0.288289845,41.10456118,0
Niger_18400_PB_SSL,Niger,PB,SSL,Methanobrevibacter_oralis,277168,12127,6410,70,44.3429,0.125824051,0.077015143,0.308536208,0.639182757,0.490346718,-204.969081,0.022454865,0.023523377,0.268362772,0.295913867,0.116949876,1.326693095
Niger_18400_PB_DSL,Niger,PB,DSL,Methanobrevibacter_oralis,32956,0,0,0,0,18.26161374,0.499355016,0.497386948,0.495312086,174.0581369,0,11.75299757,0.29103213,0.287709023,0.289317627,120.2245364,0
Niger_18398_QG_SSL,Niger,QG,SSL,Methanobrevibacter_oralis,76958,880,518,106,49.1415,0.103158702,0.048245147,0.759413572,0.494466953,0.399693222,-215.7695286,0.01592633,0.018203545,0.177690374,0.131037271,0.086590771,1.555453896
Niger_18398_QG_DSL,Niger,QG,DSL,Methanobrevibacter_oralis,84006,1,1,1,26,0.200144487,0.139800272,0.454770286,0.54786541,3.359396468,-12.16773562,0.204471873,0.122986887,0.286212573,0.277992763,6.452193327,1.288553423
Niger_18398_PB_SSL,Niger,PB,SSL,Methanobrevibacter_oralis,33054,548,288,34,59.6765,0.127479217,0.047380273,0.37617794,0.635089051,0.315973171,-99.56555688,0.031024962,0.026643783,0.278500955,0.263253291,0.117137234,1.260633841
Niger_18398_PB_DSL,Niger,PB,DSL,Methanobrevibacter_oralis,72142,0,0,0,0,60.80553676,0.498598465,0.498048651,0.493146233,104.0092551,0,20.7133703,0.287566775,0.290204088,0.287135759,65.12759817,0
Niger_18393_QG_SSL,Niger,QG,SSL,Methanobrevibacter_oralis,706286,23926,13195,2491,57.1903,0.063950185,0.068786742,0.949115111,0.52690515,0.474896149,-439.1321992,0.002719349,0.004275974,0.044559286,0.030247405,0.025719865,1.687872521
Niger_18393_QG_DSL,Niger,QG,DSL,Methanobrevibacter_oralis,54932,0,0,0,0,57.46557674,0.500222161,0.496271536,0.502620206,63.61361629,0,33.47665582,0.287997563,0.289659714,0.291041322,32.86440116,0
Niger_18393_PB_SSL,Niger,PB,SSL,Methanobrevibacter_oralis,2308,67,36,26,50.4615,0.16947684,0.029096545,0.496912265,0.61573633,0.184807477,-80.53509861,0.040866825,0.023786043,0.285952366,0.226006455,0.080279644,1.346799042
Niger_18393_PB_DSL,Niger,PB,DSL,Methanobrevibacter_oralis,48321,0,0,0,0,30.59008409,0.493916102,0.494595879,0.500831386,101.7468942,0,17.68434747,0.287760804,0.289343895,0.287177181,52.00723937,0
Hungary_18427_QG_SSL,Hungary,QG,SSL,Methanobrevibacter_oralis,303465,2104,1063,359,37.234,0.066477802,0.065722521,0.839378282,0.533630851,0.701336878,-335.5940804,0.007298831,0.011129569,0.125340641,0.082189115,0.094085755,1.614845784
Hungary_18427_QG_DSL,Hungary,QG,DSL,Methanobrevibacter_oralis,2037388,5473,3845,3335,123.145,0.055449177,0.052863587,0.502160505,0.35024347,0.364824392,-448.9950902,0.002122155,0.005177235,0.055146926,0.047306261,0.019164508,1.59880746
Hungary_18427_PB_SSL,Hungary,PB,SSL,Methanobrevibacter_oralis,10185382,10898,5747,5594,34.779,0.084928782,0.093533815,0.81656903,0.503494883,0.868407331,236.5224473,0.002230405,0.004260271,0.096509118,0.048696887,0.026644291,1.513030657
Hungary_18427_PB_DSL,Hungary,PB,DSL,Methanobrevibacter_oralis,949368,148,84,78,69.9872,0.072924897,0.018045521,0.782949788,0.428022787,0.278722587,-127.8793687,0.014550146,0.012494868,0.154968785,0.094521174,0.089323558,1.603785928
Hungary_18421_QG_SSL,Hungary,QG,SSL,Methanobrevibacter_oralis,4939739,9055,4904,4567,46.3755,0.063042949,0.079201267,0.935068218,0.484406235,0.693199035,-175.0835788,0.002011955,0.004016098,0.051828325,0.029014295,0.02646671,1.59340178
Hungary_18421_QG_DSL,Hungary,QG,DSL,Methanobrevibacter_oralis,1531256,336,252,202,98.2673,0.069780194,0.03809294,0.716317678,0.546579103,0.267144254,-222.7036829,0.009003308,0.010137842,0.180000199,0.111104708,0.052411135,1.519959983
Hungary_18421_PB_SSL,Hungary,PB,SSL,Methanobrevibacter_oralis,4566559,9230,4931,4539,45.0936,0.07023959,0.071332585,0.948904081,0.579152161,0.600449591,-137.8279751,0.002114899,0.003148069,0.044348024,0.025850029,0.022216522,1.693781822
Hungary_18421_PB_DSL,Hungary,PB,DSL,Methanobrevibacter_oralis,589146,200,121,119,65.042,0.083076409,0.022310453,0.636308943,0.572253364,0.244300287,-176.1221345,0.012474015,0.010710059,0.217553683,0.147311757,0.059789138,1.444301905
Hungary_18416_QG_SSL,Hungary,QG,SSL,Methanobrevibacter_oralis,17377666,31511,17006,15597,44.297,0.069665679,0.073521882,0.980441436,0.515689299,0.775212481,1371.940162,0.00115424,0.002049246,0.018213659,0.01343638,0.015193836,1.675422732
Hungary_18416_QG_DSL,Hungary,QG,DSL,Methanobrevibacter_oralis,1138507,311,224,220,125.082,0.037585109,0.023795986,0.713099654,0.444030909,0.377835841,-197.793115,0.006523824,0.009280285,0.156611533,0.089991463,0.093903644,1.515804317
Hungary_18416_PB_SSL,Hungary,PB,SSL,Methanobrevibacter_oralis,5657100,11010,5903,5553,35.4815,0.081723364,0.082801354,0.967275013,0.426152155,0.894303514,163.4354892,0.002243968,0.004429555,0.029264473,0.021697935,0.028508055,1.721998402
Hungary_18416_PB_DSL,Hungary,PB,DSL,Methanobrevibacter_oralis,571189,188,120,118,66.3983,0.057315995,0.024066206,0.661607239,0.43114819,0.48184369,-174.7684933,0.010861959,0.012959346,0.192989304,0.1218574,0.124366207,1.535182931
Hungary_18416_PB_DSL,Hungary,PB,DSL,Olsenella_sp_taxon_807,571189,9408,7157,6953,54.1517,0.092199681,0.00016795,0.995536851,0.427556644,0.075544001,-736.3344585,0.001882702,0.00017032,0.004396994,0.005398465,0.003452328,1.837780045
Hungary_18416_PB_SSL,Hungary,PB,SSL,Olsenella_sp_taxon_807,5657100,48872,35060,33278,44.9593,0.090019796,0.000307137,0.998669254,0.412675296,0.076643553,-1713.632118,0.000882922,0.000278447,0.001379061,0.002497013,0.001641712,1.838342672
Hungary_18416_QG_DSL,Hungary,QG,DSL,Olsenella_sp_taxon_807,1138507,21509,18180,17556,100.335,0.099112348,0.000132721,0.993428573,0.475490592,0.068709775,-1046.777899,0.00122108,0.000134422,0.006213503,0.004284655,0.002007166,1.81164226
Hungary_18416_QG_SSL,Hungary,QG,SSL,Olsenella_sp_taxon_807,17377666,269861,215863,201749,57.3582,0.089309155,6.49E-05,0.997878766,0.452581664,0.068246224,-4023.410187,0.000341368,6.37E-05,0.00198167,0.001250281,0.000624191,1.815597816
Hungary_18421_PB_DSL,Hungary,PB,DSL,Olsenella_sp_taxon_807,589146,7691,6359,6194,63.7929,0.099787094,0.000224226,0.89295646,0.552455127,0.062237416,-716.8197265,0.002029745,0.000218535,0.051102521,0.017402389,0.003161675,1.675493007
Hungary_18421_PB_SSL,Hungary,PB,SSL,Olsenella_sp_taxon_807,4566559,39578,30910,29273,50.9648,0.088519041,0.000179855,0.994540361,0.507182522,0.077445501,-1141.946468,0.000871008,0.000173678,0.005108692,0.003580537,0.001756392,1.778887651
Hungary_18421_QG_DSL,Hungary,QG,DSL,Olsenella_sp_taxon_807,1531256,106722,89192,74758,87.5502,0.105069507,1.84E-05,0.996295796,0.544429987,0.067568557,-2829.431443,0.000587437,1.85E-05,0.003630854,0.002489486,0.000936287,1.835643021
Hungary_18421_QG_SSL,Hungary,QG,SSL,Olsenella_sp_taxon_807,4939739,291414,235334,214769,57.8918,0.097559601,1.10E-05,0.986562077,0.522363884,0.0645177,-2968.726274,0.000347229,1.12E-05,0.007684594,0.002439078,0.000553229,1.686800079
Hungary_18427_PB_DSL,Hungary,PB,DSL,Olsenella_sp_taxon_807,949368,9662,7050,6909,56.3647,0.099384619,0.00049382,0.935340365,0.413863225,0.068351512,-678.6871588,0.002077791,0.000470125,0.031800251,0.009932286,0.003251313,1.660833563
Hungary_18427_PB_SSL,Hungary,PB,SSL,Olsenella_sp_taxon_807,10185382,44315,30023,29323,47.0119,0.082912318,0.017913045,0.785313712,0.374740046,0.082853397,-1856.917986,0.001020733,0.001171607,0.016489874,0.007769254,0.001978172,1.570365114
Hungary_18427_QG_DSL,Hungary,QG,DSL,Olsenella_sp_taxon_807,2037388,46965,37453,35101,105.296,0.117163553,5.84E-05,0.63577603,0.405235086,0.063047703,-1676.681593,0.000976977,5.83E-05,0.013564129,0.006037792,0.001257757,1.695939169
Hungary_18427_QG_SSL,Hungary,QG,SSL,Olsenella_sp_taxon_807,303465,3836,2814,984,39.8415,0.108059511,0.004769812,0.741368577,0.455686045,0.06780313,-399.8168997,0.005982057,0.003533259,0.100647025,0.044996546,0.008241879,1.567413272
Niger_18393_PB_DSL,Niger,PB,DSL,Olsenella_sp_taxon_807,48321,0,0,0,0,24.42682634,0.504205054,0.502020628,0.503218304,74.2354336,0,17.04680043,0.285679646,0.288442996,0.288542744,44.14715399,0
Niger_18393_PB_SSL,Niger,PB,SSL,Olsenella_sp_taxon_807,2308,44,36,33,49.4848,0.154409701,0.009270029,0.450394093,0.716908472,0.034164321,-75.24703181,0.030742394,0.008461312,0.289054615,0.193942319,0.025962621,1.514825414
Niger_18393_QG_DSL,Niger,QG,DSL,Olsenella_sp_taxon_807,54932,2,2,2,25,0.032797484,0.076331439,0.404165928,0.599432441,26.43992811,-18.66890175,0.053095474,0.071775158,0.286802617,0.270660814,26.32525265,1.330941246
Niger_18393_QG_SSL,Niger,QG,SSL,Olsenella_sp_taxon_807,706286,22715,17342,3893,51.4007,0.105435812,0.000256168,0.987627473,0.503763486,0.06114924,-693.2476658,0.002582294,0.000251819,0.011754951,0.009202396,0.003884889,1.845312671
Niger_18398_PB_DSL,Niger,PB,DSL,Olsenella_sp_taxon_807,72142,0,0,0,0,39.24843904,0.506021056,0.49853455,0.495965286,76.59454132,0,23.35717892,0.289158421,0.291864583,0.289538985,43.20747254,0
Niger_18398_PB_SSL,Niger,PB,SSL,Olsenella_sp_taxon_807,33054,342,263,90,56.2222,0.102820971,0.006904017,0.720770177,0.650115621,0.055341361,-120.9470753,0.016220479,0.005567003,0.197155932,0.09437085,0.024795341,1.67725656
Niger_18398_QG_DSL,Niger,QG,DSL,Olsenella_sp_taxon_807,84006,2,0,0,0,12.66796835,0.499469779,0.506656166,0.497892637,42.32507086,0,9.009776877,0.287107358,0.289152824,0.288776797,22.36441336,0
Niger_18398_QG_SSL,Niger,QG,SSL,Olsenella_sp_taxon_807,76958,1250,994,285,47.5895,0.089155398,0.009883852,0.814133051,0.456308627,0.083162924,-229.574695,0.010128093,0.006507103,0.117328078,0.057795879,0.019217696,1.482299064
Niger_18400_PB_DSL,Niger,PB,DSL,Olsenella_sp_taxon_807,32956,0,0,0,0,19.70947789,0.502723169,0.497660255,0.504551999,219.7682648,0,11.3892554,0.28745208,0.289623014,0.291970745,62.70095065,0
Niger_18400_PB_SSL,Niger,PB,SSL,Olsenella_sp_taxon_807,277168,920,701,140,47.9214,0.144462348,0.002175637,0.748269253,0.667379543,0.066991152,-203.6982532,0.01449486,0.002099087,0.176726896,0.082410072,0.018206662,1.711294987
Niger_18400_QG_DSL,Niger,QG,DSL,Olsenella_sp_taxon_807,112968,7,0,0,0,24.71351937,0.499328127,0.499713589,0.499203226,66.19229551,0,21.18797774,0.287409916,0.285583318,0.290043203,53.76076098,0
Niger_18400_QG_SSL,Niger,QG,SSL,Olsenella_sp_taxon_807,118009,1319,1078,281,51.4662,0.125243596,0.001319271,0.847432727,0.63709807,0.062252045,-306.4149163,0.009604482,0.001312315,0.115836805,0.049216964,0.013198334,1.737481457
