SampleID,EBC,ModernCalculus,Plaque,Skin,Soil,Unknown
18393_QG_DSL,0.021963036,0.000520366,0.000466535,0.018697291,0.643656917,0.314695855
18393_PB_DSL,0.016723488,0.000161493,0.000107662,0.385393863,0.203893774,0.39371972
18393_PB_SSL,0,0.002117352,0.120348107,0.000143549,0,0.877390992
18398_QG_DSL,0.007572223,0.000107662,0.000107662,0.017082361,0.95878342,0.016346671
18398_PB_DSL,0.001794366,0.000125606,0.000143549,0.076260542,0.237161313,0.684514624
18398_PB_SSL,0,0.004324421,0.252054549,0.002063521,0,0.741557509
18398_QG_SSL,0,0.003606675,0.197505832,0.000322986,0,0.798564507
18400_PB_DSL,0.039655482,0,0.00019738,0.778126682,0.098259465,0.08376099
18400_QG_DSL,0.081769245,0.000125606,0.000412704,0.030629822,0.355966266,0.531096357
18400_PB_SSL,0.000143549,0.000520366,0.002637718,0.77575812,0,0.220940248
18400_QG_SSL,7.18E-05,0.00186614,0.155140858,0.044733537,0,0.798187691